u,v,key,osmid,oneway,highway,maxspeed,reversed,length,from,to,lanes,name,bridge,junction,width,access,service,tunnel
1264301596,11090088436,0,110843401,0,tertiary,50,True,5.369,11090088436,1264301596,2,Avenida Emmel,,,,,,,
1264301596,11090088438,0,110843401,0,tertiary,50,False,9.824,11090088438,1264301596,2,Avenida Emmel,,,,,,,
1264301856,6061568167,0,110827661,0,service,,True,49.067,6061568167,1264301856,,Campo Redondo,,,,,,,
1264301856,8692107835,0,938235844,0,living_street,,False,90.399,8692107835,1264301856,,,,,,,,,
1264302047,1264342953,0,557378634,0,residential,,True,55.409,1264342953,1264302047,,Urbanizaci??n los Rosales,,,,,,,
1264302047,1264367295,0,557378634,0,residential,,False,136.883,1264367295,1264302047,,Urbanizaci??n los Rosales,,,,,,,
1264302047,1264315042,0,563696610,0,living_street,,False,42.294,1264315042,1264302047,,,,,,,,,
1264302325,4110722311,0,110844363,0,residential,40,False,14.82,4110722311,1264302325,,Las Condes,,,,,,,
1264302325,11019063625,0,409180509,1,residential,40,False,66.117,11019063625,1264302325,,Ar?�valo,,,,,,,
1264302409,5393843684,0,110817364,0,tertiary,30,True,61.282,5393843684,1264302409,,Ciudad de las Corrientes,,,,,,,
1264302409,5393843690,0,110817364,0,tertiary,30,False,60.866,5393843690,1264302409,,Ciudad de las Corrientes,,,,,,,
1264302409,5393843689,0,559192687,0,residential,,False,111.029,5393843689,1264302409,,,,,,,,,
1264302423,11009127068,0,198370720,1,primary,40,False,8.909,1264302423,11009127068,2,Avenida Salaverry,,,,,,,
1264302423,10920891144,0,198351556,1,tertiary,50,False,164.082,1264302423,10920891144,2,Avenida Tacna y Arica,,,,,,,
1264302423,2084935445,0,198370720,1,primary,40,False,126.458,2084935445,1264302423,2,Avenida Salaverry,,,,,,,
1264302423,2085078798,0,198351556,1,tertiary,50,False,6.952,2085078798,1264302423,2,Avenida Tacna y Arica,,,,,,,
1264302702,1264322381,0,534262049,1,secondary,50,False,40.666,1264302702,1264322381,3,Avenida Jorge Ch?�vez,,,,,,,
1264302702,1264305215,0,534262049,1,secondary,50,False,82.573,1264305215,1264302702,3,Avenida Jorge Ch?�vez,,,,,,,
1264302702,4106830786,0,110819673,1,residential,30,False,52.272,4106830786,1264302702,,Bogot?�,,,,,,,
1264302786,4372087980,0,399149795,1,residential,40,False,47.129,1264302786,4372087980,,Avenida Luna Pizarro,,,,,,,
1264302786,1264333227,0,399149795,1,residential,40,False,49.911,1264333227,1264302786,,Avenida Luna Pizarro,,,,,,,
1264302815,1264354783,0,558922111,0,residential,,True,13.955,1264354783,1264302815,,,,,,,,,
1264302815,11016523160,0,110815238,1,primary,60,False,166.25,1264302815,11016523160,2,Avenida Venezuela,,,,,,,
1264302815,5391133718,0,"[557676144, 110840306, 557676142]",0,residential,30,False,55.697,5391133718,1264302815,,,yes,,,,,,
1264302815,5750200846,0,110815238,1,primary,60,False,43.957,5750200846,1264302815,2,Avenida Venezuela,,,,,,,
1264302944,1264367995,0,558922116,0,residential,,False,65.411,1264367995,1264302944,,Calle Jos?� Carlos Mari?�tegui,,,,,,,
1264302944,5375241824,0,1276191248,1,residential,40,False,76.012,1264302944,5375241824,,Calle Benito Bonifaz,,,,,,,
1264302944,5391108750,0,1276191248,1,residential,40,False,106.112,5391108750,1264302944,,Calle Benito Bonifaz,,,,,,,
1264303248,11010695305,0,405722947,1,primary,50,False,26.628,1264303248,11010695305,2,Avenida Jos?� Abelardo Qui??ones,,,,,,,
1264303248,5394456309,0,559257716,0,residential,,True,51.25,5394456309,1264303248,,Avenida Garcilazo de la Vega,,,,,,,
1264303248,10062503684,0,405722947,1,primary,50,False,47.853,10062503684,1264303248,2,Avenida Jos?� Abelardo Qui??ones,,,,,,,
1264303266,5485263384,0,517493744,1,primary,40,False,25.348,1264303266,5485263384,2,Avenida Venezuela,,,,,,,
1264303266,1264344713,0,"[1194154033, 1194154034, 517493743]",1,primary,40,False,356.902,1264344713,1264303266,2,Avenida Venezuela,,,,,,,
1264303266,11022922835,0,423706475,1,secondary,40,False,21.347,11022922835,1264303266,2,Avenida Venezuela,,,,,,,
1264303660,5381354365,0,109453470,1,tertiary,30,False,121.167,1264303660,5381354365,1,Calle Sucre,,,,,,,
1264303660,5169678805,0,409188558,0,pedestrian,,True,65.643,5169678805,1264303660,,Calle San Agust?�n,,,,6,,,
1264303660,1264342650,0,110831412,1,tertiary,30,False,120.981,1264342650,1264303660,1,Calle Sim??n Bol?�var,,,,,,,
1264303660,1264347406,0,409188557,1,residential,40,False,64.607,1264347406,1264303660,2,Calle San Agust?�n,,,,,,,
1264303693,11013404092,0,1276190813,1,primary,60,False,18.809,1264303693,11013404092,2,Avenida Pedro P. Diaz,,,,,,,
1264303693,11013404069,0,1276190813,1,primary,60,False,7.965,11013404069,1264303693,2,Avenida Pedro P. Diaz,,,,,,,
1264303835,5393862385,0,407609609,1,residential,40,False,123.2,1264303835,5393862385,,Calle Pizarro,,,,,,,
1264303835,11101838018,0,407609608,1,residential,40,False,118.72,1264303835,11101838018,2,Calle San Camilo,,,,,,,
1264303835,1264354452,0,407609608,1,residential,40,False,83.847,1264354452,1264303835,2,Calle San Camilo,,,,,,,
1264303835,4427882859,0,110827577,1,residential,40,False,104.795,4427882859,1264303835,2,Calle Pizarro,,,,,,,
1264303957,11016354605,0,1186028382,0,residential,,True,10.856,11016354605,1264303957,,Manuel Belgrano,,,,,,,
1264303957,5485263383,0,809386607,1,secondary,40,False,181.348,1264303957,5485263383,2,Avenida Dolores,,,,,,,
1264303957,5375593653,0,1186028383,1,residential,40,False,68.373,5375593653,1264303957,,Manuel Belgrano,,,,,,,
1264303957,5381354355,0,809386607,1,secondary,40,False,66.332,5381354355,1264303957,2,Avenida Dolores,,,,,,,
1264304022,11016523160,0,110813962,0,residential,30,True,18.249,11016523160,1264304022,,Palomar,,,,,,,
1264304022,5391108731,0,110813962,0,residential,30,False,51.008,5391108731,1264304022,,Palomar,,,,,,,
1264304022,1264354783,0,570474813,1,primary,60,False,153.769,1264304022,1264354783,2,Avenida Venezuela,,,,,,,
1264304022,1264332393,0,570474813,1,primary,60,False,7.77,1264332393,1264304022,2,Avenida Venezuela,,,,,,,
1264304345,1264355266,0,110829143,0,residential,,False,96.09,1264355266,1264304345,,Calle Federico Barreto,,,,,,,
1264304345,4066990055,0,962324115,0,residential,,True,30.85,4066990055,1264304345,,Calle Jos?� Carlos Mari?�tegui,,,,,,,
1264304652,5391127545,0,109451961,0,residential,30,False,19.739,5391127545,1264304652,2,G??mez S?�nchez,,,,,,,
1264304652,5391127543,0,558924235,0,residential,30,True,104.942,5391127543,1264304652,,Pasaje Moquegua,,,,,,,
1264304813,7105673923,0,198370722,1,primary,60,False,39.546,1264304813,7105673923,2,Avenida Mariscal C?�ceres,,,,,,,
1264304813,5460698689,0,1254722683,0,primary,50,True,27.143,5460698689,1264304813,2,Avenida Mariscal C?�ceres,,,,,,,
1264304813,7105673924,0,110838982,1,primary,60,False,37.28,7105673924,1264304813,2,Avenida Mariscal C?�ceres,,,,,,,
1264305215,4060315693,0,110820078,1,residential,30,False,102.831,1264305215,4060315693,2,Calle V?�ctor Lira,,,,,,,
1264305215,4096490943,0,534262049,1,secondary,50,False,23.464,4096490943,1264305215,3,Avenida Jorge Ch?�vez,,,,,,,
1264305215,11664050869,0,110820078,1,residential,30,False,82.49,11664050869,1264305215,2,Calle V?�ctor Lira,,,,,,,
1264305707,11024162719,0,423708607,1,secondary,40,False,40.04,1264305707,11024162719,3,Avenida Mariscal Castilla,,,,,,,
1264305707,5432072886,0,563712584,1,primary_link,40,False,149.66,5432072886,1264305707,2,,,,,,,,
1264305707,11024160500,0,"[171693060, 171693062]",1,secondary,"['60', '40']",False,70.107,11024160500,1264305707,2,Avenida Mariscal Castilla,,,,,,,
1264305713,1264347406,0,110831198,0,residential,40,True,71.601,1264347406,1264305713,2,Calle San Agust?�n,,,,,,,
1264305713,5169434184,0,110831198,0,residential,40,False,83.181,5169434184,1264305713,2,Calle San Agust?�n,,,,,,,
1264305713,5424532746,0,110837928,0,living_street,,True,121.784,5424532746,1264305713,,Pasaje Del Solar,,,,,,,
1264306421,11100213193,0,110826283,1,tertiary,40,False,8.809,1264306421,11100213193,2,Calle Nicol?�s de Pi?�rola,,,,,,,
1264306421,11100213198,0,967058125,0,tertiary,40,False,8.619,11100213198,1264306421,,Avenida Garc?�a de Carbajal,,,,,,,
1264306421,11100213188,0,425770712,1,residential,40,False,6.752,11100213188,1264306421,,Avenida Garc?�a de Carbajal,,,,,,,
1264306864,5375593654,0,110811552,0,residential,30,True,53.166,5375593654,1264306864,,Urbanizaci??n Alvarez Thomas Manzana A,,,,,,,
1264306864,5375593656,0,649901512,1,secondary,40,False,52.796,1264306864,5375593656,2,Avenida V?�rgen del Pilar,,,,,,,
1264306864,11019063526,0,649901512,1,secondary,40,False,49.477,11019063526,1264306864,2,Avenida V?�rgen del Pilar,,,,,,,
1264307294,5394919458,0,110810185,0,residential,30,True,123.999,5394919458,1264307294,,3 de Diciembre,,,,,,,
1264307294,5664848459,0,534262049,1,secondary,50,False,51.004,1264307294,5664848459,3,Avenida Jorge Ch?�vez,,,,,,,
1264307523,1264359790,0,1049143087,1,residential,40,False,113.234,1264307523,1264359790,2,Calle Consuelo,,,,,,,
1264307523,10885762587,0,110806496,1,residential,40,False,123.284,1264307523,10885762587,2,Calle San Juan de Dios,,,,,,,
1264307523,10885702034,0,423240871,1,residential,40,False,1.968,10885702034,1264307523,2,Calle San Camilo,,,,,,,
1264308051,11022922834,0,110844363,0,residential,40,True,4.535,11022922834,1264308051,,Las Condes,,,,,,,
1264308051,11022922833,0,110844363,0,residential,40,False,4.591,11022922833,1264308051,,Las Condes,,,,,,,
1264308051,11019063607,0,560588162,0,residential,,True,5.505,11019063607,1264308051,,,,,,,,,
1264309103,1284479862,0,113213186,1,tertiary,40,False,56.808,1264309103,1284479862,2,Calle Puente Grau,,,,,,,
1264309103,5375739510,0,110831412,1,tertiary,30,False,61.615,5375739510,1264309103,1,Calle Sim??n Bol?�var,,,,,,,
1264309256,1264362064,0,557396845,0,residential,,True,107.529,1264362064,1264309256,,Juana Espinoza,,,,,,,
1264309256,5479085347,0,569775979,0,residential,,True,85.692,5479085347,1264309256,,,,,,,,,
1264309257,1264357501,0,1186045867,0,tertiary,,True,63.735,1264357501,1264309257,,,,,,,,,
1264309257,5393843692,0,1186045868,0,residential,,False,153.378,5393843692,1264309257,,,,,,,,,
1264309257,5092534899,0,557655234,1,tertiary,,False,57.632,5092534899,1264309257,,,,,,,,,
1264309265,2085097486,0,354948228,0,secondary,40,False,88.139,2085097486,1264309265,,Calle Paucarpata,,,,,,,
1264309265,4110722300,0,409180506,0,service,,True,46.64,4110722300,1264309265,,,,,,,,parking_aisle,
1264309774,4106712642,0,198371877,1,secondary,50,False,17.624,1264309774,4106712642,3,Avenida Goyeneche,,,,,,,
1264309774,3946688689,0,110813389,1,residential,30,False,27.49,3946688689,1264309774,2,Siglo XX,,,,,,,
1264309774,11090425224,0,198371877,1,secondary,50,False,124.158,11090425224,1264309774,3,Avenida Goyeneche,,,,,,,
1264309914,5406208480,0,560588004,0,residential,,False,150.222,5406208480,1264309914,,,,,,,,,
1264309914,5465620988,0,110816775,1,residential,,False,55.85,1264309914,5465620988,,,,,,,,,
1264309914,1264339844,0,110816775,1,residential,,False,53.337,1264339844,1264309914,,,,,,,,,
1264310156,3611199340,0,110834498,1,residential,40,False,13.035,1264310156,3611199340,,Calle Malec??n Socabaya,,,,,,,
1264310156,3611199339,0,110834498,1,residential,40,False,15.111,3611199339,1264310156,,Calle Malec??n Socabaya,,,,,,,
1264310281,1264316137,0,110838143,1,residential,40,False,57.278,1264310281,1264316137,1,Calle Ugarte,,,,,,,
1264310281,4055452458,0,200021255,0,service,40,False,59.222,4055452458,1264310281,,Pasaje Jacinto Iba??ez,,,,,,alley,
1264310281,1284479839,0,110838143,1,residential,40,False,60.176,1284479839,1264310281,1,Calle Ugarte,,,,,,,
1264310333,2364574303,0,"[370654148, 227661768, 1185866317, 1185866319, 423891065]",1,primary,60,False,299.923,1264310333,2364574303,2,Avenida Venezuela,,,,,,,
1264310333,11019063240,0,355528284,1,primary_link,40,False,101.978,1264310333,11019063240,1,,,,,,,,
1264310333,4066951692,0,404418325,1,primary,60,False,17.062,4066951692,1264310333,2,Avenida Venezuela,,,,,,,
1264310965,8298816757,0,354952028,1,tertiary,40,False,33.678,1264310965,8298816757,,Calle 28 de Julio,,,,,,,
1264310965,5381354366,0,439562438,0,residential,40,False,94.478,5381354366,1264310965,,Avenida Lima,,,,,,,
1264310965,1264338787,0,599074158,0,residential,40,True,105.053,1264338787,1264310965,2,Avenida Lima,,,,,,,
1264311102,11015162803,0,110838644,0,tertiary,30,True,6.806,11015162803,1264311102,2,Fransisco Mostajo,,,,,,,
1264311102,2399925946,0,1029047424,1,secondary,40,False,4.945,1264311102,2399925946,2,V?�rgen del Pilar,,,roundabout,,,,
1264311102,2399925949,0,1029047424,1,secondary,40,False,9.405,2399925949,1264311102,2,V?�rgen del Pilar,,,roundabout,,,,
1264312203,5013179910,0,355515172,1,residential,,False,14.063,1264312203,5013179910,,Montereal,,,,,,,
1264312203,2546198580,0,559192683,0,residential,30,True,27.508,2546198580,1264312203,,Montereal,,,,,,,
1264312203,5013179911,0,355515173,1,residential,,False,8.754,5013179911,1264312203,,Montereal,,,,,,,
1264312302,4728634854,0,110842560,0,residential,40,False,50.149,4728634854,1264312302,2,Avenida Independencia,,,,,,,
1264312302,4728634832,0,649901510,1,secondary,40,False,39.166,1264312302,4728634832,3,Avenida V?�rgen del Pilar,,,,,,,
1264312302,11015162874,0,479820579,1,secondary,40,False,147.551,11015162874,1264312302,2,Avenida V?�rgen del Pilar,,,,,,,
1264312487,10923337585,0,27640077,0,tertiary,30,True,69.901,10923337585,1264312487,2,Avenida Emmel,,,,,,,
1264312487,5375720554,0,557396854,0,residential,,False,69.306,5375720554,1264312487,,,,,,,,,
1264312506,4446573353,0,558062854,0,residential,,True,31.191,4446573353,1264312506,,Urbanizaci??n Alvarez Thomas WZ C,,,,,,,
1264312506,1264340626,0,649901512,1,secondary,40,False,164.247,1264312506,1264340626,2,Avenida V?�rgen del Pilar,,,,,,,
1264312506,4475973323,0,649901512,1,secondary,40,False,5.81,4475973323,1264312506,2,Avenida V?�rgen del Pilar,,,,,,,
1264312761,5123160475,0,110844680,0,residential,40,False,18.782,5123160475,1264312761,,Calle 11,,,,,,,
1264312761,1264337266,0,559258553,0,residential,,True,127.224,1264337266,1264312761,,,,,,,,,
1264313779,5381354355,0,809386607,1,secondary,40,False,65.901,1264313779,5381354355,2,Avenida Dolores,,,,,,,
1264313779,5174967245,0,525280567,1,residential,,False,227.38,5174967245,1264313779,2,Calle del Carmen,,,,,,,
1264314482,5460698715,0,110844383,0,residential,30,False,42.345,5460698715,1264314482,,Avenida Garaycochea,,,,,,,
1264314482,1264346600,0,557860221,1,service,,False,44.168,1264314482,1264346600,,Pasaje John F. Kennedy,,,,,,alley,
1264314731,1264340737,0,524544798,0,unclassified,30,False,10.465,1264340737,1264314731,2,,,,,,,,
1264314731,1264328864,0,524544798,0,unclassified,30,True,38.912,1264328864,1264314731,2,,,,,,,,
1264315137,5199090485,0,"[536777486, 559258855]",0,"['footway', 'residential']",,False,317.378,5199090485,1264315137,,,,,,,,,
1264315137,1264337010,0,25979652,1,tertiary,50,False,19.097,1264337010,1264315137,2,Avenida San Jer??nimo,,,,,,,
1264315449,4110722311,0,110844363,0,residential,40,True,41.079,4110722311,1264315449,,Las Condes,,,,,,,
1264315449,11022922834,0,110844363,0,residential,40,False,57.452,11022922834,1264315449,,Las Condes,,,,,,,
1264315573,5399025117,0,1185573531,0,tertiary,30,False,16.887,5399025117,1264315573,2,Monterreal Isla,,,,,,,
1264315573,1264366119,0,110817050,0,tertiary,30,True,52.335,1264366119,1264315573,2,Monterreal Isla,,,,,,,
1264315573,1264336604,0,559841030,0,residential,,True,60.295,1264336604,1264315573,,,,,,,,,
1264315595,1264365748,0,109451961,0,residential,30,True,27.168,1264365748,1264315595,2,G??mez S?�nchez,,,,,,,
1264315595,1264327617,0,558924234,0,service,,True,92.117,1264327617,1264315595,,Pasaje Ica,,,,,,alley,
1264315838,11090407262,0,109451552,1,service,40,False,7.879,1264315838,11090407262,,Pasaje Santa Rosa,,,,,,alley,
1264315838,11090407257,0,198371877,1,secondary,50,False,3.097,1264315838,11090407257,3,Avenida Goyeneche,,,,,,,
1264315838,11090407251,0,110811514,1,residential,30,False,8.332,11090407251,1264315838,,Santa Rosa de Lima,,,,,,,
1264315838,11090407267,0,198371877,1,secondary,50,False,7.557,11090407267,1264315838,3,Avenida Goyeneche,,,,,,,
1264316004,1264319696,0,110819262,0,residential,,False,74.823,1264319696,1264316004,,Naranjos,,,,,,,
1264316004,1264365890,0,557398374,0,residential,,False,64.247,1264365890,1264316004,,,,,,,,,
1264316137,1264341523,0,110838143,1,residential,40,False,65.133,1264316137,1264341523,1,Calle Ugarte,,,,,,,
1264316137,1264336497,0,675676890,1,residential,40,False,121.854,1264336497,1264316137,2,Calle Villalba,,,,,,,
1264316958,1264366433,0,560397307,0,pedestrian,,False,37.144,1264366433,1264316958,,,,,,,,,
1264316958,11010994632,0,560397308,0,residential,,True,10.383,11010994632,1264316958,,Torrico,,,,,,,
1264316958,1264343386,0,198343794,0,residential,30,False,140.447,1264343386,1264316958,,Torrico,,,,,,,
1264317213,11015145899,0,175698672,1,secondary,40,False,21.407,1264317213,11015145899,2,Avenida Daniel Alcides Carri??n,,,,,,,
1264317213,5103848932,0,370654147,1,primary_link,30,False,16.442,1264317213,5103848932,,,,,,,,,
1264317213,11015162711,0,1052731443,1,secondary_link,40,False,24.976,1264317213,11015162711,2,,,,,,,,
1264317213,11015162754,0,"[227727841, 354688103]",1,primary_link,"['30', '40']",False,18.299,11015162754,1264317213,2,,,,,,,,
1264317265,5460698699,0,109450971,0,residential,,True,89.653,5460698699,1264317265,,Calle Bello Horizonte,,,,,,,
1264317265,5379796461,0,109450971,0,residential,,False,104.86,5379796461,1264317265,,Calle Bello Horizonte,,,,,,,
1264317265,5208947859,0,110843787,0,residential,,False,73.808,5208947859,1264317265,,Calle Julio Ernesto Portugal,,,,,,,
1264317470,11012708627,0,110824486,0,residential,40,True,3.384,11012708627,1264317470,2,Avenida Ol?�mpica,,,,,,,
1264317470,2085078799,0,434310889,1,residential,40,False,57.497,2085078799,1264317470,,Calle San Juan de Dios,,,,,,,
1264317919,1264366976,0,110831537,0,residential,30,True,70.945,1264366976,1264317919,,,,,,,,,
1264317919,5375593662,0,110831537,0,residential,30,False,31.909,5375593662,1264317919,,,,,,,,,
1264317919,11022922833,0,110844363,0,residential,40,True,143.091,11022922833,1264317919,,Las Condes,,,,,,,
1264317984,1264328798,0,109450298,0,residential,,False,68.439,1264328798,1264317984,,Avenida Republica de Argentina,,,,,,,
1264317984,5173789057,0,109450298,0,residential,,True,71.022,5173789057,1264317984,,Avenida Republica de Argentina,,,,,,,
1264317984,11012708628,0,568440751,0,residential,,False,73.497,11012708628,1264317984,,Avenida Republica de Argentina,,,,,,,
1264318163,4427835577,0,110823759,1,residential,40,False,62,1264318163,4427835577,2,Calle Santo Domingo,,,,,,,
1264318163,4717584437,0,407609609,1,residential,40,False,101.565,1264318163,4717584437,,Calle Pizarro,,,,,,,
1264318163,1264368204,0,110823759,1,residential,40,False,143.69,1264368204,1264318163,2,Calle Santo Domingo,,,,,,,
1264318163,5169968472,0,407609609,1,residential,40,False,69.27,5169968472,1264318163,,Calle Pizarro,,,,,,,
1264318176,7289377533,0,110810761,0,primary,50,True,20.57,7289377533,1264318176,2,Pasaje Martinetti,,,,,,,
1264318176,4067074134,0,171693067,1,primary,30,False,33.031,1264318176,4067074134,2,Pasaje Martinetti,,,,,,,
1264318176,1264348167,0,561412479,1,primary,,False,33.827,1264348167,1264318176,,Pasaje Martinetti,,,,,,,
1264318216,5391127535,0,110814822,1,residential,40,False,45.87,1264318216,5391127535,,Luna Pizarro,,,,,,,
1264318216,5375241837,0,110830325,0,residential,30,False,89.85,5375241837,1264318216,,Paul Rivet,,,,,,,
1264318328,5479091612,0,110840131,0,residential,,False,12.048,5479091612,1264318328,,Urbanizaci??n Juan XXII,,,,,,,
1264318328,1264339650,0,23814028,1,primary,50,False,99.961,1264339650,1264318328,2,Avenida Victor Andr?�s Bela??nde,,AR-116,,,,,
1264318652,3946659301,0,391445973,1,residential,20,False,11.139,1264318652,3946659301,,Siglo XX,,,,,,,
1264318652,4058263259,0,403477585,1,residential,40,False,41.544,1264318652,4058263259,,Siglo XX,,,,,,,
1264318750,1264367937,0,110821604,1,residential,40,False,19.239,1264367937,1264318750,,Calle la Merced,,,,,,,
1264318750,10923389495,0,558922928,1,residential,,False,119.377,10923389495,1264318750,,Calle Tristan,,,,,,,
1264318887,4066951579,0,404418325,1,primary,60,False,7.611,1264318887,4066951579,2,Avenida Venezuela,,,,,,,
1264318887,1264333444,0,557398376,1,residential,,False,11.437,1264333444,1264318887,,Calle Percy Gibson,,,,,,,
1264318887,8302191869,0,570474816,1,primary,60,False,16.754,8302191869,1264318887,2,Avenida Venezuela,,,,,,,
1264318962,2100151396,0,200013500,1,primary,40,False,28.479,1264318962,2100151396,3,Calle Puente Grau,,,,,,,
1264318962,2100076873,0,1276425074,1,residential,40,False,18.869,1264318962,2100076873,2,Calle Villalba,,,,,,,
1264318962,1284479862,0,113213186,1,tertiary,40,False,15.525,1284479862,1264318962,2,Calle Puente Grau,,,,,,,
1264318962,2100151394,0,200029112,1,primary,30,False,44.889,2100151394,1264318962,,,,,,,,,
1264319156,1264348873,0,557655228,0,service,,True,17.849,1264348873,1264319156,,,,,,,,driveway,
1264319269,3946800915,0,110836292,0,pedestrian,,False,6.341,3946800915,1264319269,,Calle Plaza de Armas,,,,10,,,
1264319269,1264368161,0,110841870,1,residential,20,False,103.126,1264368161,1264319269,,Portal de la Municipalidad,,,,,,,
1264319459,10885697599,0,1276425071,1,residential,40,False,23.544,1264319459,10885697599,2,,,,roundabout,,,,
1264319459,4096522923,0,110843658,1,residential,30,False,119.988,4096522923,1264319459,,Calle Domingo Nieto,,,,,,,
1264319459,5200744116,0,1276425071,1,residential,40,False,7.318,5200744116,1264319459,2,,,,roundabout,,,,
1264319559,4717589312,0,110815337,0,pedestrian,,False,73.117,4717589312,1264319559,,Calle Mercaderes,,,,8,,,
1264319559,4717584435,0,1184486863,1,residential,40,False,26.393,1264319559,4717584435,2,Calle Col??n,,,,,,,
1264319559,4717584439,0,110806537,1,residential,20,False,17.016,1264319559,4717584439,1,Octavio Mu??oz Najar,,,,,,,
1264319559,4717584437,0,407609609,1,residential,40,False,27.919,4717584437,1264319559,,Calle Pizarro,,,,,,,
1264319696,5375734627,0,557398375,0,residential,,False,62.879,5375734627,1264319696,,,,,,,,,
1264319899,5468201555,0,568367928,0,service,,True,54.102,5468201555,1264319899,1,,,,,,,alley,
1264319899,1284479907,0,109453758,0,living_street,,False,112.244,1284479907,1264319899,1,Tejada,,,,,,,
1264319899,1264330798,0,110837674,0,living_street,20,False,75.63,1264330798,1264319899,1,Desaguadero,,,,,,,
1264319905,5391113983,0,110816503,0,residential,30,True,47.735,5391113983,1264319905,2,Toribio Pacheco,,,,,,,
1264319905,4027106783,0,110838663,0,unclassified,30,True,205.255,4027106783,1264319905,4,Avenida de la Marina,,,,,,,
1264319905,10920891207,0,598199975,1,unclassified,30,False,92.174,10920891207,1264319905,4,Avenida de la Marina,,,,,,,
1264320212,4030247145,0,110817050,0,tertiary,30,True,6.514,4030247145,1264320212,2,Monterreal Isla,,,,,,,
1264320212,5465543201,0,110817050,0,tertiary,30,False,15.383,5465543201,1264320212,2,Monterreal Isla,,,,,,,
1264320212,5377965378,0,557655225,0,residential,,True,60.993,5377965378,1264320212,,,,,,,,,
1264320225,5391108755,0,110825680,1,tertiary,40,False,30.591,1264320225,5391108755,2,?�valo Plaza Romana,,,circular,,,,
1264320225,1264369127,0,110825680,1,tertiary,40,False,12.941,1264369127,1264320225,2,?�valo Plaza Romana,,,circular,,,,
1264320448,5391113995,0,1029057108,0,residential,30,True,63.265,5391113995,1264320448,,Paul Rivet,,,,,,,
1264320448,5375734002,0,110824846,0,residential,30,True,24.823,5375734002,1264320448,,,,,,,,,
1264320536,1264340626,0,110810943,0,residential,,False,76.228,1264340626,1264320536,,Urbanizaci??n Alvarez Thomas WZ D,,,,,,,
1264320536,4358258190,0,110832918,0,residential,40,False,65.934,4358258190,1264320536,,Manuel Belgrano,,,,,,,
1264320536,5465573033,0,110810943,0,residential,,True,62.176,5465573033,1264320536,,Urbanizaci??n Alvarez Thomas WZ D,,,,,,,
1264321750,5377965387,0,557655236,0,residential,,True,27.08,5377965387,1264321750,,,,,,,,,
1264321750,5393843697,0,559192690,0,residential,,True,52.105,5393843697,1264321750,,,,,,,,,
1264321750,5393843703,0,559192690,0,residential,,False,67.076,5393843703,1264321750,,,,,,,,,
1264321952,1264335043,0,110840282,0,tertiary,40,True,56.508,1264335043,1264321952,2,Avenida Quiroz,,,,,,,
1264321952,5432104281,0,563716822,0,residential,,True,107.923,5432104281,1264321952,,Tejada,,,,,,,
1264322381,4444938242,0,534262049,1,secondary,50,False,14.098,1264322381,4444938242,3,Avenida Jorge Ch?�vez,,,,,,,
1264322381,1264354452,0,407609606,1,residential,40,False,127.455,1264322381,1264354452,,Calle San Camilo,,,,,,,
1264322731,5393844121,0,110822807,0,living_street,,True,61.94,5393844121,1264322731,,Los Ruise??ores,,,,,private,,
1264322731,1264337978,0,559192700,0,living_street,,True,106.623,1264337978,1264322731,,Los Jilgueros,,,,,private,,
1264322780,5375734628,0,110829143,0,residential,,False,33.007,5375734628,1264322780,,Calle Federico Barreto,,,,,,,
1264322780,3611199340,0,110834498,1,residential,40,False,101.579,3611199340,1264322780,,Calle Malec??n Socabaya,,,,,,,
1264323207,4557425638,0,110810943,0,residential,,False,109.725,4557425638,1264323207,,Urbanizaci??n Alvarez Thomas WZ D,,,,,,,
1264323207,4978429964,0,"[1185135651, 508548126]",0,"['living_street', 'footway']",,"[False, True]",78.73,4978429964,1264323207,,,,,,,,,
1264323430,1264339133,0,761351093,0,residential,,True,11.024,1264339133,1264323430,,,,,,,,,
1264323430,1264354250,0,809391023,1,primary,60,False,117.027,1264323430,1264354250,2,Avenida Pedro P. Diaz,,,,,,,
1264323430,4020778168,0,809391023,1,primary,60,False,15.239,4020778168,1264323430,2,Avenida Pedro P. Diaz,,,,,,,
1264323969,5123160485,0,526908142,0,footway,,True,29.859,5123160485,1264323969,,,,,,,,,
1264323969,5375720553,0,557396851,0,residential,,True,5.473,5375720553,1264323969,,,,,,,,,
1264323969,5123160484,0,557396851,0,residential,,False,91.919,5123160484,1264323969,,,,,,,,,
1264324712,5092538900,0,110818503,0,living_street,30,True,54.031,5092538900,1264324712,,Calle Cesar Vallejo,,,,,,,
1264324712,4058377257,0,403489129,0,living_street,,True,139.934,4058377257,1264324712,,,,,,,,,
1264324744,11013403962,0,809391023,1,primary,60,False,17.665,1264324744,11013403962,2,Avenida Pedro P. Diaz,,,,,,,
1264324744,4020778159,0,809391023,1,primary,60,False,35.228,4020778159,1264324744,2,Avenida Pedro P. Diaz,,,,,,,
1264324815,5391147718,0,109454510,0,residential,,False,69.752,5391147718,1264324815,,Urbanizaci??n Caba??a Mar?�a Manzana B,,,,,,,
1264324815,4110704190,0,649901512,1,secondary,40,False,88.638,1264324815,4110704190,2,Avenida V?�rgen del Pilar,,,,,,,
1264324815,1264342601,0,649901512,1,secondary,40,False,60.072,1264342601,1264324815,2,Avenida V?�rgen del Pilar,,,,,,,
